,Titel van het Recept,Ingredienten,Website URLS
19,Zalm vissticks met spinazie,"['250 gr zalmfilet', '½   bord geraspte kokos', '½   bord paneermeel', '1  bord bloem', '1  ei', 'peper en zout', '400 gr verse spinazie', 'Scheutje room', '400 gr zoete aardappel frieten']",https://www.leukerecepten.nl/recepten/zalm-vissticks-met-spinazie/
20,Gado gado salade,"['400 gr gebroken sperziebonen', '4  eieren', 'Handje kroepoek', '1  komkommer', '100 gr taugé', '200 gr witte kool (gesneden)', '12  radijsjes', '360 gr blokjes tempeh ketjap', 'gebakken uitjes', 'ongezouten pinda’s']",https://www.leukerecepten.nl/recepten/gado-gado-salade/
21,Poké bowl,"['200 gr sushi rijst', '3 eetlepels sushi azijn', '200 gr rauwe tonijn in blokjes', '100 gr sojaboontjes', '100 gr zeewiersalade (wakame)', '1/2  mango in blokjes', '50 gr wortel julienne', 'Paar plakjes radijs']",https://www.leukerecepten.nl/recepten/poke-bowl/
22,Griekse quinoa,"['300 gr quinoa', '1  komkommer', '200 gr feta', '250  tomaatjes', '4  pitabroodjes', 'handje walnoten', 'Snuf oregano', '1 eetlepel olijfolie', '2  gegrilde paprika', '170 ml yoghurt', '1  teen knoflook']",https://www.leukerecepten.nl/recepten/griekse-quinoa/
23,Spaanse paella,"['200 g chorizo worst', '1  ui', '400 gr kippendijen (in blokjes)', '200 gr grote garnalen', '20  venusschelpen of kokkels', '300 gr paella rijst (of risotto rijst)', '200 gr erwtjes (diepvries)', ""2  paprika's"", '1  rode peper', 'Snuf gerookte paprikapoeder', '1  zakje saffraandraadjes', '½   blik tomatenblokjes', '1 liter kippenbouillon (van bouillonblokjes)', '1  citroen', 'verse peterselie']",https://www.leukerecepten.nl/recepten/paella-kip-en-gambas/
24,Gezonde pasta carbonara,"['2  courgettes of 400 gr courgetti', '125 ml yoghurt of light room', '1  ei', '125 gr magere spekreepjes', '1  teen knoflook (geperst)', 'Peper en zout', 'Verse basilicum', 'Handje fijn geraspte parmezaanse kaas']",https://www.leukerecepten.nl/recepten/gezonde-pasta-carbonara/
25,Nacho’s met gehakt uit de oven,"['150 gr nacho’s', '300 gr gehakt', 'handje geraspte kaas', '1  bosui', '1 eetlepel Mexicaanse kruiden (zelfgemaakt)', '1  paprika', '125 ml zure room', '1  tomaat', '1  klein blikje mais', '1  jalapeño peper (naar smaak)', 'Koriander of peterselie']",https://www.leukerecepten.nl/recepten/nachos-met-gehakt-uit-de-oven/
26,Marokkaans gevulde taco’s,"['1  kleine rode ui', '125 gr kikkererwten', '8  mini wraps', '7  gedroogde abrikozen', '175 gr pulled oats of vegetarisch gehakt', '2 eetlepels tomatenpuree', '200 ml groentebouillon', '1/2 eetlepel harissa (naar smaak)', '1/2 eetlepel rashanout', '75 gr peen julienne', 'peterselie', 'Turkse of Griekse yoghurt']",https://www.leukerecepten.nl/recepten/marokkaans-gevulde-tacos/
27,Pasta met zalm en spinazie,"['350 gr tagliatelle', '350 ml kookroom (light)', '400 gr verse spinazie', '400 gr zalmfilet', '1  ui', 'peper en zout', '250 gr cherrytomaatjes', '50 gr pijnboompitten (geroosterd)', '2 teentjes knoflook', '1 eetlepel olijfolie']",https://www.leukerecepten.nl/recepten/pasta-met-zalm-en-spinazie/
28,Pasta carbonara,"['400 gr spaghetti', '200 gr gerookte spekblokjes of reepjes', '2 teentjes knoflook', 'Takje verse peterselie', '100 gr parmezaanse kaas (geraspt)', '3  eieren', 'peper en zout']",https://www.leukerecepten.nl/recepten/spaghetti-carbonara/
